object_id,global_id,faa_identifier,name,latitude,longitude,airport_geom,elevation,icao_id,airport_type,service_city,state_abbreviation,country,oper_status,airport_use,iap_exists,dod_hiflip,far_91,far_93,mil_code,airspace_analysis,us_high,us_low,ak_high,ak_low,us_area,pacific
13763,969AF2A4-78FA-4BA7-BECB-AF0B811AB91D,CPX,Benjamin Rivera Noriega,18.31295177,-65.3038783,POINT(-65.3038783 18.31295177),49,TJCP,Aerodome,Isla De Culebra,PR,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19066,AB0C0DF7-6B99-423A-8BF5-8C251C448D79,GAX,Williams Auxiliary Airfield 6,32.885255,-112.8163167,POINT(-112.8163167 32.885255),806,KGAX,Aerodome,Gila Bend,AZ,United States,Operational,Private,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4350,10DF4721-6E29-4AA9-8449-9CEE21C8FFA7,JHM,Kapalua,20.96293982,-156.6730461,POINT(-156.6730461 20.96293982),255.8,PHJH,Aerodome,Lahaina,HI,United States,Operational,Private,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
323,7AFEFD48-960D-4E1C-8715-C88F9718E974,AA27,Otp,70.41410098,-150.0186247,POINT(-150.0186247 70.41410098),38,PPNU,Heliport,Nuiqsut,AK,United States,Operational,Private,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2144,1BAF0DA1-ADDF-4894-BB64-4AFEC6B9E7DB,PAI,Barton,34.25854931,-118.4070845,POINT(-118.4070845 34.25854931),960,KPAI,Heliport,Pacoima,CA,United States,Operational,Private,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6557,D693314C-3912-4FCC-A287-62E32E1754F8,LNQ,Boothville,29.3541453,-89.43591541,POINT(-89.43591541 29.3541453),3,KLNQ,Heliport,Boothville,LA,United States,Operational,Private,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17147,5AE08D97-090E-4EE6-AB4D-BAAE13B4A2B4,EBY,US Coast Guard Station Neah Bay,48.37045818,-124.5981349,POINT(-124.5981349 48.37045818),23,KEBY,Heliport,Neah Bay,WA,United States,Operational,Private,FALSE,FALSE,FALSE,FALSE,OTHER,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2168,E3D8486D-97C2-41DB-8155-0977518BC2F8,RIU,Rancho Murieta,38.48678288,-121.1027909,POINT(-121.1027909 38.48678288),144.2,KRIU,Aerodome,Rancho Murieta,CA,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3161,E4E04B92-A65E-4C1F-981C-5367E2170401,CLW,Clearwater Air Park,27.97721906,-82.75906043,POINT(-82.75906043 27.97721906),71,KCLW,Aerodome,Clearwater,FL,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
6229,53AABAD2-3448-4F04-B71F-D17B867424EF,TKO,Mankato,39.80279688,-98.22117041,POINT(-98.22117041 39.80279688),1859,KTKO,Aerodome,Mankato,KS,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
